from_knowledgecomponent_id,to_knowledgecomponent_id
50,49
53,55
89,91
52,49
11,10
44,49
18,22
84,76
10,16
28,36
59,62
59,63
59,64
90,94
29,38
88,97
86,92
86,87
86,89
86,90
90,93
49,51
75,84
75,76
75,80
52,46
75,83
76,83
10,59
88,98
10,15
17,28
17,24
10,23
17,18
17,19
10,30
24,31
24,25
24,26
24,27
88,96
87,88
48,15
48,30
48,23
71,72
41,47
41,49
76,79
1,8
77,85
52,41
44,41
90,95
66,67
66,68
66,69
66,70
28,40
12,65
54,45
77,78
32,33
32,34
32,35
54,58
28,32
76,81
76,82
10,12
29,37
53,56
43,53
12,61
18,20
28,29
53,46
42,52
46,54
77,81
77,82
76,77
43,54
18,21
29,39
88,89
59,60
71,74
14,48
10,14
53,57
71,73
1,2
1,3
1,4
1,5
1,6
1,7
1,9
1,13
